Nombre,Categoría,Calificación,Número de Opiniones,Dirección,Latitud,Longitud,Imagen
Tijuanazo Calette,mexicana,4.7,"7,000+","Av. Los Olivos 6, Tijuana, Baja California 22044",32.5144178,-117.0148584,https://tb-static.uber.com/prod/image-proc/processed_images/32f7b4a623abd2b8dcfdeefa88d7cb51/f8403c421bef668ad381b5e82e546060.jpeg
Tijuanazo Playas,mexicana,4.7,"25,000+","Paseo Ensenada 712, Jardines Playas De Tijuana, 22500 Tijuana, B.C., Mexico, B.C. 22500",32.4983,-117.1207,https://tb-static.uber.com/prod/image-proc/processed_images/32f7b4a623abd2b8dcfdeefa88d7cb51/f8403c421bef668ad381b5e82e546060.jpeg
Komasa Rio Tijuana,japonesa,4.7,600+,"General Rodolfo Sanchez Toboada 10132, Tijuana, LATAM 22320",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/12732c2779a914076bdfebe9dcc9e239/69ad85cd7b39888042b3bbf1c22d630d.webp
komasa VIP,asiática,4.5,290+,"Boulevard Gustavo Salinas 11120, .., Tijuana, BC 22014",32.5419,-116.6361,https://tb-static.uber.com/prod/image-proc/processed_images/4c17b1d2abe8e645f28a0bed9bb14a18/69ad85cd7b39888042b3bbf1c22d630d.webp
Tijuanazo Cacho,mexicana,4.7,"20,000+","Av Guanajuato 2416, Col. Madero (Cacho), 22040 Tijuana, B.C., Mexico, B.C. 22040",32.6167,-115.0833,https://tb-static.uber.com/prod/image-proc/processed_images/32f7b4a623abd2b8dcfdeefa88d7cb51/f8403c421bef668ad381b5e82e546060.jpeg
Taikishi Río,japonesa,4.7,500+,"Boulevard General Rodolfo Sánchez Taboada 5060, Tijuana, Bc, Mx, 22010, ",30.8595,-116.0833,https://tb-static.uber.com/prod/image-proc/processed_images/bbc2f55e9d72e40e02ecb9a0e4b96714/69ad85cd7b39888042b3bbf1c22d630d.webp
Caccio Pizza  Rotisserie  Sucursal Hipódromo,italiana,4.7,"1,500+","Av Tapachula 11590, Restaurante, Tijuana, BC 22060",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/055ce1640bb590db5620f0856c8df276/f8403c421bef668ad381b5e82e546060.jpeg
CAFFENIO Bellas Artes,americana,4.7,"3,000+","Boulevard De Las Bellas Artes 19613, Tijuana, LATAM 22430",32.5433901,-116.9392351,https://tb-static.uber.com/prod/image-proc/processed_images/53e1081edf917875dd0815be5486e778/7835428b286acb57646a256c897c0e9e.jpeg
EL 4TO ANHELO HIPODROMO,repostería,4.8,"2,000+","4575, Av. Hipódromo, Hipodromo, 22020 Tijuana, B.C., México, B.C. 22020",38.8406,-77.448,https://tb-static.uber.com/prod/image-proc/processed_images/81d7bb9b61310b5c1ddafe817b28abf4/69ad85cd7b39888042b3bbf1c22d630d.jpeg
Inspiración 9 Cocina Vegana,mexicana,4.9,"2,000+","Plaza Campestre, 22014, Tijuana, B.C. 22014",32.5126666,-117.0015942,https://tb-static.uber.com/prod/image-proc/processed_images/ecb2616421c4fd6a839105bca3679c81/9b3aae4cf90f897799a5ed357d60e09d.jpeg
Tijuanazo Hipódromo,mexicana,4.6,"35,000+","Av. Hipódromo 126, 9 Section, Hipodromo, 22020 Tijuana, B.C., Mexico, B.C. 22024",31.7816,-116.5918,https://tb-static.uber.com/prod/image-proc/processed_images/32f7b4a623abd2b8dcfdeefa88d7cb51/f8403c421bef668ad381b5e82e546060.jpeg
Sushimi CACHO Tijuana,japonesa,4.6,600+,"Calle Gobernador Ibarra 9651, Tijuana, BC 22044",32.5179753,-117.0221718,https://tb-static.uber.com/prod/image-proc/processed_images/5d50787eef29042bed069d83ff4a74b7/6a46de29c91d235bc2878fe87fd740f6.jpeg
Tijuanazo Otay,mexicana,4.6,"30,000+","Centro Comercial 17212, Otay Constituyentes, Tijuana, Baja California 22457",32.5321609,-116.9465096,https://tb-static.uber.com/prod/image-proc/processed_images/32f7b4a623abd2b8dcfdeefa88d7cb51/f8403c421bef668ad381b5e82e546060.jpeg
Taikishi Otay,japonesa,4.7,470+,"Blvd. Industrial 179 7-9, Tijuana, LATAM 22320",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/ac3b57c29d1ebac3529ddfa9818cfc16/69ad85cd7b39888042b3bbf1c22d630d.webp
Tijuanazo Río,mexicana,4.6,"15,000+","Calle Hermenegildo Galeana 8442, Zonaeste, Tijuana, B.C., Mexico, B.C. 22010",30.8595,-116.0833,https://tb-static.uber.com/prod/image-proc/processed_images/32f7b4a623abd2b8dcfdeefa88d7cb51/f8403c421bef668ad381b5e82e546060.jpeg
da Salvatore,italiana,4.7,"1,000+","Blv Agua Caliente 10556, Tijuana, BC 22014",32.5419,-116.6361,https://tb-static.uber.com/prod/image-proc/processed_images/a39d251ea0933d4b0c0a7d7e1a56793e/69ad85cd7b39888042b3bbf1c22d630d.jpeg
Sukiyaki  Benton,ambiente familiar,4.7,"4,000+","Blvd. Gustavo Diaz Ordaz 15260, Benton, Tijuana, Baja California 22115",32.0532,-115.7858,https://tb-static.uber.com/prod/image-proc/processed_images/25fcdce882a1ea2fb0d1a38d800800de/69ad85cd7b39888042b3bbf1c22d630d.jpeg
Buffalo Wild Wings Clouthier Tijuana,alitas,4.4,"5,000+","Av. De Los Insurgentes 18121, Buena Vista, Sepanal, Tijuana, Baja California 22225",32.5192305,-116.9899914,https://tb-static.uber.com/prod/image-proc/processed_images/9f013b9db32ad72447f51b0307851239/63d18745892c100be9e4ef3c560c9204.jpeg
Tahona Pan Artesanal,comida económica,4.9,"1,500+","Calle Privada Manuel Doblado 109, Gabilondo, Tijuana, Baja California 22044",32.1508,-116.1198,https://tb-static.uber.com/prod/image-proc/processed_images/c8534d28582b43621c9905ec850c7ba9/69ad85cd7b39888042b3bbf1c22d630d.jpeg
Ikasa Café,exclusivo de uber eats,4.8,"8,000+","Avenida José López Portillo Poniente 1460, Local 2 (Plaza San Miguel), Tijuana, Baja California 22436",46.17496,18.95639,https://tb-static.uber.com/prod/image-proc/processed_images/81f8bea287e9fac86e637d53848df53c/f8403c421bef668ad381b5e82e546060.jpeg
SaketoriYa Express,ambiente familiar,4.6,"8,000+","Av. Tapachula 7, Chapultepec Este, 22020 Tijuana, B.C., México, B.C. 22020",31.7816,-116.5918,https://tb-static.uber.com/prod/image-proc/processed_images/94fb54e18c65ea229bede39acb755f81/f7e27f77a1abfdaa9fab9b4ae7dab7cb.jpeg
Blue Luna  Otay Industrial ,healthy,4.8,"2,000+","Blvd. Alberto Limón Padilla #179, Tijuana, LATAM 22454",32.5371106,-116.9261859,https://tb-static.uber.com/prod/image-proc/processed_images/493024b946c6ea39f6262508463087ff/f8403c421bef668ad381b5e82e546060.jpeg
Rollover,repostería,4.8,"2,000+","Av. De Las Americas Ote. 3680, Anexa 20 De Noviembre, Tijuana, Baja California 22100",15.73806,-92.37861,https://tb-static.uber.com/prod/image-proc/processed_images/b59776be9269dbe8c33037e70c8546fc/69ad85cd7b39888042b3bbf1c22d630d.jpeg
CAFFENIO  Cuauhtémoc,cafetería,4.8,"10,000+","Cuauhtémoc Sur #9702 Entre Gobernador Lugo A Gobernador Ibarra, Colonia Américas. Cp 22044, Tijuana, Baja California 22044",40.57455,-74.30209,https://tb-static.uber.com/prod/image-proc/processed_images/53e1081edf917875dd0815be5486e778/7835428b286acb57646a256c897c0e9e.jpeg
